date,region,product,units,revenue,category
2026-01-01,EMEA,Widget A,43,5160,hardware
2026-01-01,EMEA,Widget B,26,2210,hardware
2026-01-01,EMEA,Widget C,23,4600,hardware
2026-01-01,EMEA,Service X,24,8400,services
2026-01-01,EMEA,Service Y,17,2550,services
2026-01-01,APAC,Widget A,42,4536,hardware
2026-01-01,APAC,Widget B,13,994,hardware
2026-01-01,APAC,Widget C,41,7380,hardware
2026-01-01,APAC,Service X,5,1575,services
2026-01-01,APAC,Service Y,19,2565,services
2026-01-01,NA,Widget A,27,3564,hardware
2026-01-01,NA,Widget B,22,2057,hardware
2026-01-01,NA,Widget C,22,4840,hardware
2026-01-01,NA,Service X,26,10010,services
2026-01-01,NA,Service Y,28,4620,services
2026-01-01,LATAM,Widget A,19,1824,hardware
2026-01-01,LATAM,Widget B,32,2176,hardware
2026-01-01,LATAM,Widget C,36,5760,hardware
2026-01-01,LATAM,Service X,36,10080,services
2026-01-01,LATAM,Service Y,33,3960,services
2026-02-01,EMEA,Widget A,27,3240,hardware
2026-02-01,EMEA,Widget B,38,3230,hardware
2026-02-01,EMEA,Widget C,41,8200,hardware
2026-02-01,EMEA,Service X,23,8050,services
2026-02-01,EMEA,Service Y,44,6600,services
2026-02-01,APAC,Widget A,22,2376,hardware
2026-02-01,APAC,Widget B,42,3213,hardware
2026-02-01,APAC,Widget C,41,7380,hardware
2026-02-01,APAC,Service X,28,8820,services
2026-02-01,APAC,Service Y,30,4050,services
2026-02-01,NA,Widget A,39,5148,hardware
2026-02-01,NA,Widget B,8,748,hardware
2026-02-01,NA,Widget C,28,6160,hardware
2026-02-01,NA,Service X,33,12705,services
2026-02-01,NA,Service Y,26,4290,services
2026-02-01,LATAM,Widget A,44,4224,hardware
2026-02-01,LATAM,Widget B,41,2788,hardware
2026-02-01,LATAM,Widget C,10,1600,hardware
2026-02-01,LATAM,Service X,23,6440,services
2026-02-01,LATAM,Service Y,21,2520,services
2026-03-01,EMEA,Widget A,43,5160,hardware
2026-03-01,EMEA,Widget B,19,1615,hardware
2026-03-01,EMEA,Widget C,37,7400,hardware
2026-03-01,EMEA,Service X,36,12600,services
2026-03-01,EMEA,Service Y,30,4500,services
2026-03-01,APAC,Widget A,42,4536,hardware
2026-03-01,APAC,Widget B,32,2448,hardware
2026-03-01,APAC,Widget C,29,5220,hardware
2026-03-01,APAC,Service X,21,6615,services
2026-03-01,APAC,Service Y,27,3645,services
2026-03-01,NA,Widget A,17,2244,hardware
2026-03-01,NA,Widget B,19,1777,hardware
2026-03-01,NA,Widget C,35,7700,hardware
2026-03-01,NA,Service X,38,14630,services
2026-03-01,NA,Service Y,39,6435,services
2026-03-01,LATAM,Widget A,14,1344,hardware
2026-03-01,LATAM,Widget B,38,2584,hardware
2026-03-01,LATAM,Widget C,43,6880,hardware
2026-03-01,LATAM,Service X,34,9520,services
2026-03-01,LATAM,Service Y,25,3000,services
2026-04-01,EMEA,Widget A,35,4200,hardware
2026-04-01,EMEA,Widget B,13,1105,hardware
2026-04-01,EMEA,Widget C,21,4200,hardware
2026-04-01,EMEA,Service X,42,14700,services
2026-04-01,EMEA,Service Y,16,2400,services
2026-04-01,APAC,Widget A,17,1836,hardware
2026-04-01,APAC,Widget B,12,918,hardware
2026-04-01,APAC,Widget C,38,6840,hardware
2026-04-01,APAC,Service X,16,5040,services
2026-04-01,APAC,Service Y,27,3645,services
2026-04-01,NA,Widget A,20,2640,hardware
2026-04-01,NA,Widget B,42,3927,hardware
2026-04-01,NA,Widget C,39,8580,hardware
2026-04-01,NA,Service X,9,3465,services
2026-04-01,NA,Service Y,43,7095,services
2026-04-01,LATAM,Widget A,28,2688,hardware
2026-04-01,LATAM,Widget B,15,1020,hardware
2026-04-01,LATAM,Widget C,8,1280,hardware
2026-04-01,LATAM,Service X,32,8960,services
2026-04-01,LATAM,Service Y,11,1320,services
2026-05-01,EMEA,Widget A,41,4920,hardware
2026-05-01,EMEA,Widget B,22,1870,hardware
2026-05-01,EMEA,Widget C,32,6400,hardware
2026-05-01,EMEA,Service X,36,12600,services
2026-05-01,EMEA,Service Y,33,4950,services
2026-05-01,APAC,Widget A,37,3996,hardware
2026-05-01,APAC,Widget B,6,459,hardware
2026-05-01,APAC,Widget C,28,5040,hardware
2026-05-01,APAC,Service X,32,10080,services
2026-05-01,APAC,Service Y,23,3105,services
2026-05-01,NA,Widget A,9,1188,hardware
2026-05-01,NA,Widget B,34,3179,hardware
2026-05-01,NA,Widget C,41,9020,hardware
2026-05-01,NA,Service X,13,5005,services
2026-05-01,NA,Service Y,28,4620,services
2026-05-01,LATAM,Widget A,6,576,hardware
2026-05-01,LATAM,Widget B,21,1428,hardware
2026-05-01,LATAM,Widget C,30,4800,hardware
2026-05-01,LATAM,Service X,29,8120,services
2026-05-01,LATAM,Service Y,44,5280,services
2026-06-01,EMEA,Widget A,13,1560,hardware
2026-06-01,EMEA,Widget B,44,3740,hardware
2026-06-01,EMEA,Widget C,41,8200,hardware
2026-06-01,EMEA,Service X,35,12250,services
2026-06-01,EMEA,Service Y,34,5100,services
2026-06-01,APAC,Widget A,15,1620,hardware
2026-06-01,APAC,Widget B,5,382,hardware
2026-06-01,APAC,Widget C,14,2520,hardware
2026-06-01,APAC,Service X,12,3780,services
2026-06-01,APAC,Service Y,28,3780,services
2026-06-01,NA,Widget A,9,1188,hardware
2026-06-01,NA,Widget B,44,4114,hardware
2026-06-01,NA,Widget C,29,6380,hardware
2026-06-01,NA,Service X,42,16170,services
2026-06-01,NA,Service Y,44,7260,services
2026-06-01,LATAM,Widget A,41,3936,hardware
2026-06-01,LATAM,Widget B,19,1292,hardware
2026-06-01,LATAM,Widget C,37,5920,hardware
2026-06-01,LATAM,Service X,9,2520,services
2026-06-01,LATAM,Service Y,20,2400,services
